name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_7pitch_y_0_1roll_z_0_1roll_y_0_7roll_y_0_4,roll_pitch__pitch__roll__roll__roll_,0.1_0.7__0.1__0.1__0.7__0.4_,z_y__y__z__y__y_,6,0.625,2.46,4.021,0.059
roll_z_0_1pitch_y_0_7pitch_x_0_4pitch_y_0_4pitch_x_0_1pitch_y_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.4__0.4__0.1__0.7_,z_y__x__y__x__y_,6,0.635,2.62,4.935,0.06
roll_z_0_1pitch_y_0_1pitch_z_0_4pitch_z_0_7pitch_x_0_1roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.7__0.1__0.4_,z_y__z__z__x__z_,6,0.62,2.34,4.003,0.06
roll_z_0_1pitch_y_0_4roll_x_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_4,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.1__0.7__0.1__0.4_,z_y__x__y__y__y_,6,0.628,3.37,4.17,0.061
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_z_0_4pitch_y_0_4roll_y_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.4__0.4_,z_y__x__z__y__y_,6,0.615,2.12,4.196,0.049
roll_z_0_1pitch_y_0_4roll_x_0_4pitch_y_0_7pitch_y_0_4roll_x_0_7,roll_pitch__roll__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.4__0.7_,z_y__x__y__y__x_,6,0.602,3.02,4.155,0.051
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_x_0_7roll_z_0_7roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.7__0.7__0.7__0.4_,z_y__y__x__z__y_,6,0.788,2.72,4.146,0.085
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_4roll_y_0_4roll_y_0_1,roll_roll__roll__pitch__roll__roll_,0.1_0.1__0.4__0.4__0.4__0.1_,z_y__y__y__y__y_,6,0.63,1.82,3.962,0.066
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_z_0_1pitch_z_0_4pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.1__0.4__0.4_,z_y__z__z__z__z_,6,0.588,2.81,4.168,0.051
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_7pitch_x_0_4pitch_x_0_1,roll_roll__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.7__0.4__0.1_,z_y__y__y__x__x_,6,0.634,2.49,3.878,0.065
roll_z_0_1pris_y_0_7roll_x_0_7roll_y_0_4pitch_y_0_7pitch_y_0_1,roll_pris__roll__roll__pitch__pitch_,0.1_0.7__0.7__0.4__0.7__0.1_,z_y__x__y__y__y_,6,0.629,1.93,3.934,0.062
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_x_0_4pitch_x_0_1pitch_y_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.1__0.1_,z_y__x__x__x__y_,6,0.63,2.12,3.928,0.064
roll_z_0_1pitch_y_0_1pitch_z_0_4pitch_y_0_1roll_z_0_7pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.4__0.1__0.7__0.4_,z_y__z__y__z__y_,6,0.63,2.99,3.94,0.066
