name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_1pitch_z_0_1pitch_y_0_4pitch_z_0_7pitch_z_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.1__0.4__0.7__0.1_,z_y__z__y__z__z_,6,0.03,3.12,4.935,0.06
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_y_0_4roll_x_0_1pitch_y_0_7,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.4__0.1__0.7_,z_y__y__y__x__y_,6,0.21,2.7,3.951,0.106
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_y_0_4pitch_z_0_4roll_z_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.4__0.4__0.1_,z_y__x__y__z__z_,6,0.213,2.44,3.972,0.1
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_z_0_7pitch_y_0_1pitch_x_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.7__0.1__0.1_,z_y__y__z__y__x_,6,0.192,2.12,3.997,0.097
roll_z_0_1pitch_y_0_1pitch_y_0_4roll_x_0_4roll_y_0_1roll_y_0_7,roll_pitch__pitch__roll__roll__roll_,0.1_0.1__0.4__0.4__0.1__0.7_,z_y__y__x__y__y_,6,0.1,2.97,3.119,0.035
roll_z_0_1pris_y_0_7roll_x_0_4pitch_y_0_7pitch_z_0_1roll_z_0_7,roll_pris__roll__pitch__pitch__roll_,0.1_0.7__0.4__0.7__0.1__0.7_,z_y__x__y__z__z_,6,0.182,2.23,3.957,0.1
roll_z_0_1pitch_y_0_7roll_x_0_7pitch_y_0_4pitch_z_0_1roll_y_0_1,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.7__0.4__0.1__0.1_,z_y__x__y__z__y_,6,0.176,2.48,4.086,0.099
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_y_0_4pitch_z_0_7roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.4__0.7__0.4_,z_y__y__y__z__x_,6,0.112,3.86,3.865,0.066
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_7pitch_x_0_7pitch_x_0_4,roll_roll__roll__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.7__0.4_,z_y__y__y__x__x_,6,0.188,2.23,4.068,0.089
roll_z_0_1pitch_y_0_7roll_y_0_1pitch_y_0_1roll_y_0_7roll_y_0_7,roll_pitch__roll__pitch__roll__roll_,0.1_0.7__0.1__0.1__0.7__0.7_,z_y__y__y__y__y_,6,0.194,2.02,3.959,0.101
roll_z_0_1pris_y_0_7pitch_z_0_7pitch_x_0_4pitch_y_0_4pris_x_0_7,roll_pris__pitch__pitch__pitch__pris_,0.1_0.7__0.7__0.4__0.4__0.7_,z_y__z__x__y__x_,6,0.204,2.43,3.896,0.109
roll_z_0_1pitch_y_0_1pitch_z_0_7pitch_y_0_4pitch_y_0_4pitch_z_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.4__0.4__0.1_,z_y__z__y__y__z_,6,0.221,2.55,3.948,0.112
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_z_0_7pitch_z_0_4roll_x_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.7__0.4__0.7_,z_y__y__z__z__x_,6,0.183,2.41,4.024,0.099
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_y_0_4pitch_z_0_4roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.4__0.4_,z_y__y__y__z__z_,6,0.196,2.15,3.911,0.104
roll_z_0_1pitch_y_0_7roll_x_0_1roll_y_0_1roll_y_0_4roll_y_0_1,roll_pitch__roll__roll__roll__roll_,0.1_0.7__0.1__0.1__0.4__0.1_,z_y__x__y__y__y_,6,0.104,2.99,4.935,0.097
roll_z_0_1pitch_y_0_1pitch_y_0_1pitch_x_0_7roll_z_0_1roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.1__0.1__0.7__0.1__0.4_,z_y__y__x__z__y_,6,0.196,2.6,3.845,0.112
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_7pitch_y_0_4pris_y_0_7,roll_roll__roll__pitch__pitch__pris_,0.1_0.7__0.1__0.7__0.4__0.7_,z_y__y__y__y__y_,6,0.179,2.03,4.037,0.094
roll_z_0_1pitch_y_0_4roll_z_0_4pitch_y_0_4roll_y_0_4roll_y_0_1,roll_pitch__roll__pitch__roll__roll_,0.1_0.4__0.4__0.4__0.4__0.1_,z_y__z__y__y__y_,6,0.176,2.3,3.96,0.103
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_z_0_7roll_y_0_7pitch_y_0_7,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.7__0.7__0.7_,z_y__z__z__y__y_,6,0.186,2.54,3.927,0.103
roll_z_0_1pitch_y_0_1roll_y_0_7pitch_y_0_4pitch_x_0_7pris_z_0_7,roll_pitch__roll__pitch__pitch__pris_,0.1_0.1__0.7__0.4__0.7__0.7_,z_y__y__y__x__z_,6,0.151,2.08,4.201,0.078
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_z_0_7pitch_x_0_1roll_x_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.7__0.1__0.4_,z_y__y__z__x__x_,6,0.167,2.51,4.117,0.084
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_y_0_1roll_y_0_7pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.1__0.7__0.1_,z_y__z__y__y__y_,6,0.205,2.31,3.844,0.122
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_x_0_7pitch_y_0_4pitch_y_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.7__0.4__0.7_,z_y__y__x__y__y_,6,0.103,4.18,4.934,0.065
roll_z_0_1pitch_y_0_1pitch_z_0_4pitch_z_0_1pitch_z_0_4pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.1__0.4__0.7_,z_y__z__z__z__x_,6,0.263,4.78,4.819,0.09
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_4pitch_z_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.4__0.4__0.7_,z_y__y__x__y__z_,6,0.116,2.68,3.883,0.096
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_x_0_4pris_y_0_7roll_x_0_7,roll_pitch__pitch__pitch__pris__roll_,0.1_0.4__0.1__0.4__0.7__0.7_,z_y__z__x__y__x_,6,0.093,2.96,4.644,0.042
roll_z_0_1roll_y_0_4roll_y_0_4roll_y_0_7roll_y_0_7pris_z_0_7,roll_roll__roll__roll__roll__pris_,0.1_0.4__0.4__0.7__0.7__0.7_,z_y__y__y__y__z_,6,0.152,2.69,4.188,0.078
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_x_0_4pitch_z_0_7pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.7__0.7_,z_y__x__x__z__x_,6,0.197,2.77,3.907,0.104
