'"{''#long_link''',long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,Total,simulated,left
1,0.7,6,0,2,0.2, 2.6}",12700,619,12081
2,0.7,6,3,4,0.2, 3.1}",260,260,0
4,0.7,5,0,0,0, 3.1}",1,1,0
2,0.7,6,0,4,0.2, 3.1}",2840,145,2695
1,0.7,6,3,4,0, 2.6}",350,350,0
2,0.7,6,2,4,0.2, 2.6}",6840,331,6509
1,0.7,5,2,2,0, 2}",112,112,0
0,0.4,6,0,0,0.5, 2.6}",99,99,0
2,0.7,6,2,2,1, 2.6}",2700,121,2579
1,0.7,6,0,0,0.2, 1.5}",396,396,0
4,0.7,6,0,2,1, 3.6}",2700,141,2559
1,0.7,6,5,5,0, 2.6}",25,25,0
4,0.7,6,2,3,0.5, 3.1}",720,35,685
2,0.7,6,3,4,0, 2.6}",840,40,800
1,0.7,6,0,0,0.5, 2}",3267,159,3108
3,0.7,6,0,1,0.5, 3.1}",19110,942,18168
2,0.7,6,0,0,0.2, 3.1}",180,180,0
1,0.7,4,3,3,0, 1.5}",6,6,0
4,0.7,6,4,5,0, 3.1}",10,10,0
2,0.7,6,2,4,0.2, 2}",1140,50,1090
0,0.4,6,2,2,1, 2}",270,270,0
3,0.7,4,0,3,0, 2.6}",6,6,0
2,0.7,4,2,3,0, 2}",12,12,0
3,0.7,6,0,1,0.5, 2.6}",6370,302,6068
2,0.7,5,2,3,0.25, 2}",504,432,72
1,0.7,6,0,2,0, 1.5}",1232,55,1177
2,0.7,5,3,3,0, 2}",72,72,0
1,0.7,5,0,3,0, 2}",576,576,0
4,0.7,5,0,3,0, 3.1}",36,36,0
2,0.7,6,0,0,0, 2.6}",60,60,0
1,0.7,6,0,3,0.2, 2}",20856,1016,19840
5,0.7,6,3,4,0, 3.6}",14,14,0
1,0.7,5,0,0,0.25, 1.5}",224,224,0
2,0.7,6,0,3,0.2, 2}",6320,299,6021
0,0.4,6,0,5,0, 1.5}",836,48,788
3,0.7,6,4,5,0, 3.1}",60,60,0
1,0.7,4,0,1,1, 1.5}",162,162,0
0,0.4,6,3,3,0.2, 1.5}",722,106,616
1,0.7,5,0,2,0.67, 1.5}",2208,2208,0
3,0.7,5,0,3,0, 2.6}",288,288,0
0,0.4,6,2,5,0, 1.5}",494,494,0
4,0.7,5,2,3,0.25, 3.1}",28,24,4
2,0.7,4,3,3,0, 2}",6,6,0
1,0.7,6,0,1,0.2, 1.5}",3784,178,3606
0,0.4,6,5,5,0, 2.6}",1,1,0
1,0.7,6,3,3,0.5, 2}",858,39,819
1,0.7,5,2,4,0, 2}",128,128,0
1,0.7,5,0,1,0.67, 1.5}",3072,3072,0
2,0.7,6,2,2,0, 3.1}",100,100,0
1,0.7,6,0,4,0.2, 1.5}",6248,296,5952
0,0.4,6,0,2,1, 2}",3240,509,2731
5,0.7,6,0,2,0, 3.6}",56,56,0
4,0.7,6,3,3,0.2, 3.6}",190,190,0
5,0.7,6,0,1,1, 3.6}",648,36,612
0,0.4,5,0,0,1.5, 2}",38,38,0
3,0.7,6,2,2,0, 2.6}",100,100,0
3,0.7,4,0,1,0, 2.6}",7,7,0
0,0.4,6,3,3,0, 1.5}",133,133,0
2,0.7,5,0,0,0, 2.6}",6,6,0
1,0.7,6,0,0,0.5, 2.6}",2475,108,2367
3,0.7,6,0,2,0.2, 2.6}",5080,245,4835
4,0.7,6,4,4,0, 3.1}",20,20,0
0,0.4,5,0,0,0.25, 2}",14,14,0
4,0.7,6,2,2,0, 3.6}",50,50,0
4,0.7,6,0,1,1, 3.1}",3240,158,3082
4,0.7,6,0,0,1, 3.1}",845,44,801
0,0.4,5,4,4,0, 2}",1,1,0
1,0.7,5,2,3,0, 2}",224,224,0
1,0.7,5,2,3,0, 1.5}",224,224,0
3,0.7,6,0,2,0, 2.6}",560,32,528
2,0.7,6,0,0,1, 3.1}",1690,81,1609
