#long_link,long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,total,simulated,left,1702863,126348,1576515
3,0.7,6,0,2,1,2.6}",5400,252,5148,,,
5,0.7,6,4,4,0,3.6}",4,4,0,,,
0,0.4,6,3,5,0,1.5}",152,27,125,,,
0,0.4,5,2,2,0,2}",7,7,0,,,
0,0.4,5,0,3,0.25,2}",80,80,0,,,
1,0.7,6,0,0,0,2.6}",25,25,0,,,
3,0.7,6,2,3,0.2,2.6}",1940,93,1847,,,
2,0.7,5,0,2,0.67,2}",2484,378,2106,,,
4,0.7,5,0,0,0.25,3.1}",14,14,0,,,
4,0.7,5,0,1,1.5,3.1}",66,31,35,,,
2,0.7,6,0,0,0,3.1}",10,10,0,,,
3,0.7,6,2,3,0,2.6}",440,32,408,,,
1,0.7,4,0,1,1,2}",81,81,0,,,
1,0.7,6,2,2,0.5,2}",5082,233,4849,,,
0,0.4,4,0,0,0,1.5}",1,1,0,,,
0,0.4,5,3,3,0.25,1.5}",90,70,20,,,
4,0.7,5,0,0,0.67,3.1}",51,28,23,,,
2,0.7,6,2,5,0,2.6}",1560,75,1485,,,
4,0.7,6,2,4,0.2,3.1}",570,34,536,,,
1,0.7,6,2,3,0.2,2.6}",4850,241,4609,,,
2,0.7,6,2,2,0.2,2}",860,39,821,,,
3,0.7,4,0,2,0,2.6}",11,11,0,,,
1,0.7,6,2,2,0.5,2.6}",3850,179,3671,,,
1,0.7,4,0,3,0,1.5}",36,36,0,,,
3,0.7,6,2,2,0,3.1}",300,30,270,,,
0,0.4,6,0,1,0.5,2.6}",637,145,492,,,
0,0.4,5,2,3,0.25,2}",28,24,4,,,
4,0.7,6,2,2,0,3.1}",50,25,25,,,
2,0.7,5,2,2,0.25,2}",720,101,619,,,
3,0.7,6,0,0,0.2,2.6}",180,26,154,,,
3,0.7,4,2,3,0,2.6}",2,2,0,,,
1,0.7,6,0,2,0.2,2}",16764,832,15932,,,
1,0.7,6,0,1,1,2.6}",16200,783,15417,,,
0,0.4,6,0,0,0.2,2}",108,52,56,,,
2,0.7,6,0,3,0.5,2.6}",38400,1876,36524,,,
2,0.7,5,2,4,0,2}",144,36,108,,,
0,0.4,6,0,2,1,1.5}",10260,1309,8951,,,
0,0.4,6,0,0,1,1.5}",3211,743,2468,,,
4,0.7,6,0,0,0.5,3.1}",495,39,456,,,
2,0.7,6,2,2,0,2}",100,27,73,,,
1,0.7,5,2,3,0.25,1.5}",448,82,366,,,
0,0.4,5,3,4,0,1.5}",20,20,0,,,
1,0.7,5,4,4,0,1.5}",16,16,0,,,
2,0.7,6,2,3,0.5,2}",1440,77,1363,,,
4,0.7,6,0,1,0.2,3.6}",860,46,814,,,
3,0.7,6,2,4,0.2,3.1}",3420,170,3250,,,
0,0.4,6,0,3,0.2,2}",3792,439,3353,,,
1,0.7,6,0,3,0.5,2.6}",16000,791,15209,,,
3,0.7,6,3,3,0.5,3.1}",780,41,739,,,
3,0.7,6,0,2,0,3.1}",1680,88,1592,,,
1,0.7,4,0,1,0,1.5}",42,42,0,,,
0,0.4,5,0,3,0,1.5}",360,360,0,,,
1,0.7,6,0,3,0.2,1.5}",13904,687,13217,,,
1,0.7,6,2,2,0.5,1.5}",3388,170,3218,,,
1,0.7,6,2,2,0,1.5}",220,27,193,,,
0,0.4,6,2,2,0.5,2}",924,165,759,,,
2,0.7,5,2,3,0,2}",252,63,189,,,
4,0.7,5,2,3,0,3.1}",14,14,0,,,
0,0.4,4,0,3,0,1.5}",6,6,0,,,
0,0.4,6,3,4,0.2,2}",156,34,122,,,
0,0.4,6,0,0,0,2.6}",1,1,0,,,
1,0.7,6,0,4,0.2,2}",9372,458,8914,,,
1,0.7,5,0,3,0.25,1.5}",1280,184,1096,,,
0,0.4,5,0,0,0.67,1.5}",510,509,1,,,
0,0.4,4,3,3,0,1.5}",1,1,0,,,
1,0.7,6,2,5,0,2}",858,39,819,,,
2,0.7,5,2,4,0,2.6}",48,27,21,,,
2,0.7,6,2,2,0.2,3.1}",860,42,818,,,
0,0.4,5,0,1,0.67,2}",192,190,2,,,
1,0.7,6,3,3,0,2.6}",175,28,147,,,
0,0.4,6,0,3,0,2}",666,91,575,,,
0,0.4,4,0,2,0,1.5}",11,11,0,,,
1,0.7,4,0,2,0.33,2}",72,72,0,,,
0,0.4,6,0,0,0.2,2.6}",18,18,0,,,
1,0.7,6,2,3,0,2}",1452,71,1381,,,
3,0.7,6,3,5,0,2.6}",80,26,54,,,
0,0.4,6,0,4,0,2.6}",112,31,81,,,
3,0.7,5,2,2,0.67,2.6}",192,39,153,,,
1,0.7,6,2,3,0.5,2.6}",3600,172,3428,,,
0,0.4,6,0,2,0.2,1.5}",9652,1601,8051,,,
1,0.7,6,2,5,0,2.6}",650,38,612,,,
2,0.7,6,2,2,0.5,3.1}",1540,81,1459,,,
5,0.7,6,2,2,0.5,3.6}",154,25,129,,,
0,0.4,6,0,2,0.5,2}",6852,1049,5803,,,
1,0.7,4,0,2,0,1.5}",66,66,0,,,
2,0.7,6,2,4,0,2}",590,33,557,,,
2,0.7,6,5,5,0,3.1}",10,10,0,,,
1,0.7,6,0,2,0.2,2.6}",12700,619,12081,,,
2,0.7,6,3,4,0.2,3.1}",260,30,230,,,
4,0.7,5,0,0,0,3.1}",1,1,0,,,
2,0.7,6,0,4,0.2,3.1}",2840,145,2695,,,
1,0.7,6,3,4,0,2.6}",350,32,318,,,
2,0.7,6,2,4,0.2,2.6}",6840,331,6509,,,
1,0.7,5,2,2,0,2}",112,32,80,,,
0,0.4,6,0,0,0.5,2.6}",99,47,52,,,
2,0.7,6,2,2,1,2.6}",2700,121,2579,,,
1,0.7,6,0,0,0.2,1.5}",396,34,362,,,
4,0.7,6,0,2,1,3.6}",2700,141,2559,,,
1,0.7,6,5,5,0,2.6}",25,25,0,,,
4,0.7,6,2,3,0.5,3.1}",720,35,685,,,
2,0.7,6,3,4,0,2.6}",840,40,800,,,
1,0.7,6,0,0,0.5,2}",3267,159,3108,,,
3,0.7,6,0,1,0.5,3.1}",19110,942,18168,,,
2,0.7,6,0,0,0.2,3.1}",180,27,153,,,
1,0.7,4,3,3,0,1.5}",6,6,0,,,
4,0.7,6,4,5,0,3.1}",10,10,0,,,
2,0.7,6,2,4,0.2,2}",1140,50,1090,,,
0,0.4,6,2,2,1,2}",270,56,214,,,
3,0.7,4,0,3,0,2.6}",6,6,0,,,
2,0.7,4,2,3,0,2}",12,12,0,,,
3,0.7,6,0,1,0.5,2.6}",6370,302,6068,,,
2,0.7,5,2,3,0.25,2}",504,74,430,,,
1,0.7,6,0,2,0,1.5}",1232,55,1177,,,
2,0.7,5,3,3,0,2}",72,33,39,,,
1,0.7,5,0,3,0,2}",576,79,497,,,
4,0.7,5,0,3,0,3.1}",36,27,9,,,
2,0.7,6,0,0,0,2.6}",60,25,35,,,
1,0.7,6,0,3,0.2,2}",20856,1016,19840,,,
5,0.7,6,3,4,0,3.6}",14,14,0,,,
1,0.7,5,0,0,0.25,1.5}",224,45,179,,,
2,0.7,6,0,3,0.2,2}",6320,299,6021,,,
0,0.4,6,0,5,0,1.5}",836,48,788,,,
3,0.7,6,4,5,0,3.1}",60,26,34,,,
1,0.7,4,0,1,1,1.5}",162,162,0,,,
0,0.4,6,3,3,0.2,1.5}",722,106,616,,,
1,0.7,5,0,2,0.67,1.5}",2208,332,1876,,,
3,0.7,5,0,3,0,2.6}",288,60,228,,,
0,0.4,6,2,5,0,1.5}",494,32,462,,,
4,0.7,5,2,3,0.25,3.1}",28,21,7,,,
2,0.7,4,3,3,0,2}",6,6,0,,,
1,0.7,6,0,1,0.2,1.5}",3784,178,3606,,,
0,0.4,6,5,5,0,2.6}",1,1,0,,,
1,0.7,6,3,3,0.5,2}",858,39,819,,,
1,0.7,5,2,4,0,2}",128,44,84,,,
1,0.7,5,0,1,0.67,1.5}",3072,469,2603,,,
2,0.7,6,2,2,0,3.1}",100,29,71,,,
1,0.7,6,0,4,0.2,1.5}",6248,296,5952,,,
0,0.4,6,0,2,1,2}",3240,509,2731,,,
5,0.7,6,0,2,0,3.6}",56,25,31,,,
4,0.7,6,3,3,0.2,3.6}",190,29,161,,,
5,0.7,6,0,1,1,3.6}",648,36,612,,,
0,0.4,5,0,0,1.5,2}",38,38,0,,,
3,0.7,6,2,2,0,2.6}",100,26,74,,,
3,0.7,4,0,1,0,2.6}",7,7,0,,,
0,0.4,6,3,3,0,1.5}",133,40,93,,,
2,0.7,5,0,0,0,2.6}",6,6,0,,,
1,0.7,6,0,0,0.5,2.6}",2475,108,2367,,,
3,0.7,6,0,2,0.2,2.6}",5080,245,4835,,,
4,0.7,6,4,4,0,3.1}",20,20,0,,,
0,0.4,5,0,0,0.25,2}",14,14,0,,,
4,0.7,6,2,2,0,3.6}",50,26,24,,,
4,0.7,6,0,1,1,3.1}",3240,158,3082,,,
4,0.7,6,0,0,1,3.1}",845,44,801,,,
0,0.4,5,4,4,0,2}",1,1,0,,,
1,0.7,5,2,3,0,2}",224,51,173,,,
1,0.7,5,2,3,0,1.5}",224,42,182,,,
3,0.7,6,0,2,0,2.6}",560,32,528,,,
2,0.7,6,0,0,1,3.1}",1690,81,1609,,,
1,0.7,6,2,4,0,2}",1947,104,1843,,,
2,0.7,6,2,4,0,3.1}",590,35,555,,,
4,0.7,6,0,2,0,3.6}",280,29,251,,,
4,0.7,5,0,2,0.25,3.1}",152,38,114,,,
0,0.4,5,0,0,0,1.5}",10,10,0,,,
1,0.7,5,2,2,0.25,2}",640,98,542,,,
1,0.7,5,0,1,0,2}",160,43,117,,,
1,0.7,5,0,1,0.67,2}",3072,452,2620,,,
2,0.7,5,0,1,1.5,2.6}",396,70,326,,,
1,0.7,4,0,0,0,2}",3,3,0,,,
0,0.4,6,2,3,0.2,1.5}",3686,380,3306,,,
2,0.7,5,3,4,0,2.6}",12,12,0,,,
1,0.7,6,2,4,0.2,1.5}",2508,121,2387,,,
4,0.7,6,4,4,0.2,3.6}",40,25,15,,,
3,0.7,5,3,3,0,2.6}",32,25,7,,,
3,0.7,6,2,4,0,2.6}",590,34,556,,,
