Date,Time ,Arm ,Results ,,,,
"19/06/19, 20:43",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_1pris_z_0_1,"False,False,False,False,False"
"19/06/19, 20:43",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_1pris_z_0_4,"False,False,False,False,False"
"19/06/19, 20:44",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4pris_z_0_1,"False,False,False,False,False"
"19/06/19, 20:44",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4pris_z_0_4,"False,False,False,False,False"
"19/06/19, 20:44",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_1pris_z_0_1,"False,False,False,False,False"
"19/06/19, 20:44",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_1pris_z_0_4,"False,False,False,False,False"
"19/06/19, 20:44",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4pris_z_0_1,"False,False,False,False,False"
"19/06/19, 20:44",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4pris_z_0_4,"False,False,False,False,False"
"19/06/19, 20:44",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_y_0_4roll_y_0_4,"False,False,False,False,False"
"19/06/19, 20:44",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_y_0_1roll_y_0_4,"True,True,True,True,True"
"19/06/19, 20:45",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_y_0_4roll_y_0_1,"True,True,True,True,False"
"19/06/19, 20:45",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4roll_y_0_4roll_y_0_4,"True,False,True,True,False"
"19/06/19, 20:45",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_y_0_1roll_y_0_4,"True,True,True,True,True"
"19/06/19, 20:46",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_y_0_4roll_y_0_1,"True,True,True,True,True"
"19/06/19, 20:46",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1roll_y_0_4roll_y_0_4,"True,True,True,True,False"
"19/06/19, 20:46",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_y_0_1roll_y_0_1,"True,True,True,False,False"
"19/06/19, 20:46",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_y_0_1roll_y_0_4,"True,True,True,False,False"
"19/06/19, 20:47",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_y_0_4roll_y_0_1,"False,False,False,False,False"
"19/06/19, 20:47",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_y_0_4roll_y_0_4,"True,True,True,True,True"
"19/06/19, 20:47",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_y_0_1roll_y_0_4,"True,True,True,True,True"
"19/06/19, 20:47",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_y_0_4roll_y_0_1,"True,True,True,True,True"
"19/06/19, 20:48",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_y_0_4roll_y_0_4,"True,True,True,True,True"
"19/06/19, 20:48",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_1roll_y_0_1,"True,True,True,True,True"
"19/06/19, 20:48",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_1roll_y_0_4,"False,False,False,False,False"
Date,Time ,Arm ,Results ,,,,
"19/06/19, 20:49",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_4roll_y_0_1,"True,True,True,True,True"
"19/06/19, 20:49",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_4roll_y_0_4,"False,False,False,False,False"
"19/06/19, 20:49",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_y_0_1roll_y_0_1,"True,True,True,True,True"
"19/06/19, 20:50",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_y_0_1roll_y_0_4,"True,True,True,True,True"
"19/06/19, 20:50",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_y_0_4roll_y_0_1,"True,True,True,True,True"
"19/06/19, 20:50",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_y_0_4roll_y_0_4,"True,True,True,True,True"
