name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1roll_y_1_0pitch_y_1_0roll_x_0_7,roll_roll__pitch__roll_,0.1_1.0__1.0__0.7_,z_y__y__x_,4,0.074,4.72,0.211,0.046
roll_z_0_1roll_y_1_0pitch_y_1_0roll_x_0_4,roll_roll__pitch__roll_,0.1_1.0__1.0__0.4_,z_y__y__x_,4,0.058,5.69,0.204,0.046
roll_z_0_1roll_y_1_0pitch_y_1_0roll_x_0_1,roll_roll__pitch__roll_,0.1_1.0__1.0__0.1_,z_y__y__x_,4,0.103,4.74,0.29,0.05
roll_z_0_1roll_y_1_0pitch_y_0_7roll_x_1_0,roll_roll__pitch__roll_,0.1_1.0__0.7__1.0_,z_y__y__x_,4,0.071,5.51,0.221,0.05
roll_z_0_1roll_y_1_0pitch_y_0_7roll_x_0_7,roll_roll__pitch__roll_,0.1_1.0__0.7__0.7_,z_y__y__x_,4,0.05,5.26,0.065,0.046
roll_z_0_1roll_y_1_0pitch_y_0_7roll_x_0_4,roll_roll__pitch__roll_,0.1_1.0__0.7__0.4_,z_y__y__x_,4,0.073,4.84,0.238,0.045
roll_z_0_1roll_y_1_0pitch_y_0_7roll_x_0_1,roll_roll__pitch__roll_,0.1_1.0__0.7__0.1_,z_y__y__x_,4,0.05,4.61,0.295,0.044
roll_z_0_1roll_y_1_0pitch_y_0_4roll_x_1_0,roll_roll__pitch__roll_,0.1_1.0__0.4__1.0_,z_y__y__x_,4,0.039,4.51,0.042,0.043
roll_z_0_1roll_y_1_0pitch_y_0_4roll_x_0_7,roll_roll__pitch__roll_,0.1_1.0__0.4__0.7_,z_y__y__x_,4,0.041,5.29,0.158,0.045
roll_z_0_1roll_y_1_0pitch_y_0_4roll_x_0_4,roll_roll__pitch__roll_,0.1_1.0__0.4__0.4_,z_y__y__x_,4,0.06,4.57,0.154,0.046
roll_z_0_1roll_y_1_0pitch_y_0_4roll_x_0_1,roll_roll__pitch__roll_,0.1_1.0__0.4__0.1_,z_y__y__x_,4,0.068,4.88,0.218,0.049
roll_z_0_1roll_y_1_0pitch_y_0_1roll_x_1_0,roll_roll__pitch__roll_,0.1_1.0__0.1__1.0_,z_y__y__x_,4,0.051,4.72,0.137,0.046
roll_z_0_1roll_y_1_0pitch_y_0_1roll_x_0_7,roll_roll__pitch__roll_,0.1_1.0__0.1__0.7_,z_y__y__x_,4,0.068,5.08,0.234,0.05
roll_z_0_1roll_y_1_0pitch_y_0_1roll_x_0_4,roll_roll__pitch__roll_,0.1_1.0__0.1__0.4_,z_y__y__x_,4,0.075,4.72,0.213,0.046
roll_z_0_1roll_y_1_0pitch_y_0_1roll_x_0_1,roll_roll__pitch__roll_,0.1_1.0__0.1__0.1_,z_y__y__x_,4,0.07,5.12,0.219,0.048
roll_z_0_1roll_y_0_7pitch_y_1_0roll_x_1_0,roll_roll__pitch__roll_,0.1_0.7__1.0__1.0_,z_y__y__x_,4,0.105,5.38,0.291,0.05
roll_z_0_1roll_y_0_7pitch_y_1_0roll_x_0_7,roll_roll__pitch__roll_,0.1_0.7__1.0__0.7_,z_y__y__x_,4,0.074,5.07,0.233,0.046
roll_z_0_1roll_y_0_7pitch_y_1_0roll_x_0_1,roll_roll__pitch__roll_,0.1_0.7__1.0__0.1_,z_y__y__x_,4,0.075,4.86,0.24,0.046
roll_z_0_1roll_y_0_7pitch_y_0_7roll_x_1_0,roll_roll__pitch__roll_,0.1_0.7__0.7__1.0_,z_y__y__x_,4,0.074,5.02,0.126,0.046
roll_z_0_1roll_y_0_7pitch_y_0_7roll_x_0_7,roll_roll__pitch__roll_,0.1_0.7__0.7__0.7_,z_y__y__x_,4,0.071,4.71,0.232,0.044
roll_z_0_1roll_y_0_7pitch_y_0_7roll_x_0_4,roll_roll__pitch__roll_,0.1_0.7__0.7__0.4_,z_y__y__x_,4,0.054,4.56,0.2,0.044
roll_z_0_1roll_y_0_7pitch_y_0_7roll_x_0_1,roll_roll__pitch__roll_,0.1_0.7__0.7__0.1_,z_y__y__x_,4,0.068,5.4,0.225,0.05
roll_z_0_1roll_y_0_7pitch_y_0_4roll_x_1_0,roll_roll__pitch__roll_,0.1_0.7__0.4__1.0_,z_y__y__x_,4,0.056,4.57,0.297,0.044
roll_z_0_1roll_y_0_7pitch_y_0_4roll_x_0_7,roll_roll__pitch__roll_,0.1_0.7__0.4__0.7_,z_y__y__x_,4,0.074,4.72,0.211,0.045
roll_z_0_1roll_y_0_7pitch_y_0_4roll_x_0_4,roll_roll__pitch__roll_,0.1_0.7__0.4__0.4_,z_y__y__x_,4,0.068,4.98,0.213,0.047
roll_z_0_1roll_y_0_7pitch_y_0_4roll_x_0_1,roll_roll__pitch__roll_,0.1_0.7__0.4__0.1_,z_y__y__x_,4,0.039,4.7,0.204,0.043
roll_z_0_1roll_y_0_7pitch_y_0_1roll_x_1_0,roll_roll__pitch__roll_,0.1_0.7__0.1__1.0_,z_y__y__x_,4,0.077,4.77,0.244,0.047
roll_z_0_1roll_y_0_7pitch_y_0_1roll_x_0_7,roll_roll__pitch__roll_,0.1_0.7__0.1__0.7_,z_y__y__x_,4,0.045,4.51,0.053,0.044
