name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_z_0_4pitch_z_0_4roll_y_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.4__0.4__0.1_,z_y__y__z__z__y_,6,0.152,2.36,0.255,0.052,1
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_x_0_1roll_z_0_7pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.4__0.1__0.7__0.4_,z_y__y__x__z__y_,6,0.149,1.85,0.256,0.052,1
roll_z_0_1pitch_y_0_1pitch_y_0_1pitch_y_0_7roll_y_0_7pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.1__0.7__0.7__0.4_,z_y__y__y__y__y_,6,0.153,2.46,0.258,0.052,1
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_x_0_4roll_y_0_1pris_z_0_7,roll_pitch__pitch__pitch__roll__pris_,0.1_0.1__0.7__0.4__0.1__0.7_,z_y__x__x__y__z_,6,0.154,2.93,0.264,0.052,1
roll_z_0_1pitch_y_0_4pitch_x_0_7pitch_z_0_7roll_x_0_4pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.7__0.4__0.4_,z_y__x__z__x__y_,6,0.203,2.06,0.281,0.052,1
roll_z_0_1pitch_y_0_7pitch_z_0_7pitch_y_0_7roll_z_0_7roll_y_0_1,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.7__0.7__0.7__0.1_,z_y__z__y__z__y_,6,0.073,3.64,0.281,0.052,1
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_y_0_7pitch_y_0_1pitch_x_0_7,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.4__0.4__0.7__0.1__0.7_,z_y__y__y__y__x_,6,0.154,2.81,0.203,0.053,1
roll_z_0_1pris_y_0_7pitch_y_0_1pitch_y_0_7roll_z_0_1pitch_y_0_4,roll_pris__pitch__pitch__roll__pitch_,0.1_0.7__0.1__0.7__0.1__0.4_,z_y__y__y__z__y_,6,0.154,3.3,0.213,0.053,1
roll_z_0_1pitch_y_0_7roll_y_0_1roll_y_0_1pitch_y_0_1pitch_z_0_4,roll_pitch__roll__roll__pitch__pitch_,0.1_0.7__0.1__0.1__0.1__0.4_,z_y__y__y__y__z_,6,0.166,2.26,0.241,0.053,1
roll_z_0_1pitch_y_0_1roll_x_0_4pitch_y_0_4pitch_x_0_7pitch_y_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.1__0.4__0.4__0.7__0.1_,z_y__x__y__x__y_,6,0.166,2.33,0.255,0.053,1
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_4pitch_y_0_1pris_y_0_7,roll_pitch__roll__roll__pitch__pris_,0.1_0.4__0.4__0.4__0.1__0.7_,z_y__y__y__y__y_,6,0.22,2.52,0.266,0.053,1
roll_z_0_1pitch_y_0_4pitch_z_0_7roll_y_0_7roll_y_0_7pitch_y_0_7,roll_pitch__pitch__roll__roll__pitch_,0.1_0.4__0.7__0.7__0.7__0.7_,z_y__z__y__y__y_,6,0.155,2.41,0.268,0.053,1
roll_z_0_1pitch_y_0_4roll_x_0_7roll_y_0_4pitch_y_0_1pris_y_0_7,roll_pitch__roll__roll__pitch__pris_,0.1_0.4__0.7__0.4__0.1__0.7_,z_y__x__y__y__y_,6,0.151,1.89,0.27,0.053,1
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_z_0_7pitch_y_0_1roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.7__0.1__0.4_,z_y__y__z__y__z_,6,0.219,1.65,0.199,0.054,1
roll_z_0_1pitch_y_0_7pitch_x_0_4roll_x_0_7pitch_y_0_1pris_x_0_7,roll_pitch__pitch__roll__pitch__pris_,0.1_0.7__0.4__0.7__0.1__0.7_,z_y__x__x__y__x_,6,0.161,1.98,0.269,0.054,1
roll_z_0_1pitch_y_0_1pitch_z_0_1roll_x_0_4pitch_y_0_1pitch_y_0_7,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.1__0.1__0.4__0.1__0.7_,z_y__z__x__y__y_,6,0.16,2.45,0.25,0.055,1
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_z_0_7pitch_z_0_7roll_x_0_7,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.7__0.7_,z_y__z__z__z__x_,6,0.159,2.46,0.251,0.055,1
roll_z_0_1pitch_y_0_1pitch_x_0_4roll_z_0_4pitch_y_0_7roll_y_0_4,roll_pitch__pitch__roll__pitch__roll_,0.1_0.1__0.4__0.4__0.7__0.4_,z_y__x__z__y__y_,6,0.169,2.2,0.26,0.055,1
roll_z_0_1pitch_y_0_4pitch_y_0_1pitch_y_0_7roll_x_0_7roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.1__0.7__0.7__0.4_,z_y__y__y__x__y_,6,0.164,2.38,0.262,0.055,1
roll_z_0_1pitch_y_0_4roll_z_0_4pitch_y_0_7pris_x_0_4pitch_z_0_4,roll_pitch__roll__pitch__pris__pitch_,0.1_0.4__0.4__0.7__0.4__0.4_,z_y__z__y__x__z_,6,0.158,1.96,0.273,0.055,1
roll_z_0_1pitch_y_0_1pitch_z_0_1pitch_x_0_7pitch_x_0_4roll_z_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.7__0.4__0.1_,z_y__z__x__x__z_,6,0.172,2.62,0.28,0.055,1
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_z_0_7pitch_y_0_7pitch_x_0_7,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.4__0.4__0.7__0.7__0.7_,z_y__y__z__y__x_,6,0.249,3.0,0.365,0.055,1
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_z_0_4pitch_x_0_4roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.4__0.4_,z_y__y__z__x__x_,6,0.168,1.9,0.264,0.056,1
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_z_0_1roll_y_0_4pitch_y_0_7,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.1__0.4__0.7_,z_y__y__z__y__y_,6,0.164,1.9,0.227,0.057,1
